job_id,job_title,salary_percentiles_percentile_25,salary_percentiles_percentile_50,salary_percentiles_percentile_75,iso_alpha2,currency_code,local_to_gbp_rates,gbp_converted_25th,gbp_converted_50th,gbp_converted_75th
ACCOUNT-MANAGER,Account Manager,4319.733425820691,5408.352120199415,6771.3142855588,AF,AFN,89.507995,48.26086681777076,60.42311773601247,75.65038503609426
ACCOUNTANT,Accountant,3447.692006489114,4094.865932173837,4863.52231316427,AF,AFN,89.507995,38.51825757564019,45.74860527457729,54.33617760250657
ADMINISTRATIVE-ASSISTANT,Administrative Assistant,2690.9998539555827,3240.842666625166,3903.0329839592328,AF,AFN,89.507995,30.06435183757141,36.207298204201386,43.6054118289571
ARCHITECT,Architect,5881.167914408908,7282.397219173055,9017.479186045246,AF,AFN,89.507995,65.70550389838257,81.3602988109951,100.7449578782906
ATTORNEY,Attorney,4705.830357797302,6355.070074995654,8582.314403065204,AF,AFN,89.507995,52.574413691171415,71.00002714836428,95.88321582966086
BUSINESS-ANALYST,Business Analyst,4725.577875108696,5668.928846830117,6800.597751165713,AF,AFN,89.507995,52.79503663453412,63.334329484535075,75.97754537084327
BUSINESS-DEVELOPMENT,Business Development,4261.032709236512,5645.526325365037,7479.869239515987,AF,AFN,89.507995,47.60505147318418,63.072872153655524,83.5664930212769
C-LEVEL-EXECUTIVE,C Level Executive,7800.373987824247,11695.036785667528,17534.272796613295,AF,AFN,89.507995,87.14723179559823,130.6591303454795,195.89616320434052
CASHIER,Cashier,1248.9039787710549,1749.7676467048168,2451.4989698949234,AF,AFN,89.507995,13.952987984716392,19.548730219069448,27.388603329735222
CHEF,Chef,3216.1493512220677,3950.263585787513,4851.945818769086,AF,AFN,89.507995,35.93141988290619,44.133080914029115,54.20684284983801
CHEMICAL-ENGINEER,Chemical Engineer,5320.602887308796,6447.256870671827,7812.483291240339,AF,AFN,89.507995,59.44276695404468,72.02995520871434,87.2825191899376
CIVIL-ENGINEER,Civil Engineer,4715.653164056048,5621.943911339231,6702.412633557414,AF,AFN,89.507995,52.68415591317902,62.809405029564466,74.88060294007718
CONTENT-MARKETING,Content Marketing,3253.1204356089106,4073.14222328124,5099.86884883685,AF,AFN,89.507995,36.344467727256216,45.50590395060509,56.97668514233673
COPYWRITER,Copywriter,3227.379081755723,3968.653133407044,4880.185219745954,AF,AFN,89.507995,36.05688052509414,44.338532366935986,54.522338699978185
CUSTOMER-SUPPORT,Customer Support,2697.912764729592,3468.6826877821204,4459.654791590462,AF,AFN,89.507995,30.141584164963053,38.7527693786697,49.82409439056771
DATA-ANALYST,Data Analyst,3875.71276471669,4664.61133683487,5614.089651279645,AF,AFN,89.507995,43.30018524844278,52.11390710779378,62.72165577253345
DATA-SCIENTIST,Data Scientist,7647.144482214645,9237.982416290231,11159.762879094003,AF,AFN,89.507995,85.43532320453212,103.20846105747573,124.67895051267772
DENTIST,Dentist,8169.37727512025,10639.334368569487,13856.066624681342,AF,AFN,89.507995,91.26980528521781,118.86462621098246,154.80255841594197
ELECTRICAL-ENGINEER,Electrical Engineer,5135.146819754563,6122.428792787293,7299.525337533085,AF,AFN,89.507995,57.37081720749708,68.40091539071223,81.55165734114685
EXECUTIVE-ASSISTANT,Executive Assistant,3812.941608544483,4612.02911227063,5578.583339636177,AF,AFN,89.507995,42.598894194250285,51.526448696238035,62.32497264223355
FASHION-DESIGNER,Fashion Designer,4001.005639820749,5165.326797369793,6668.473710229963,AF,AFN,89.507995,44.69998059749578,57.70799354146848,74.50143096412744
FINANCE-MANAGER,Finance Manager,5394.650164523092,6814.691874043865,8608.533254586855,AF,AFN,89.507995,60.27003693383024,76.1350075380849,96.17613772475694
FINANCIAL-ANALYST,Financial Analyst,4158.437450205505,4839.834581024893,5632.884719842741,AF,AFN,89.507995,46.458838120611524,54.07153384482462,62.93163778099087
