Job_id,iso_alpha2,Job_title
ACCOUNT-MANAGER,AD,"Account Manager"
ACCOUNT-MANAGER,AF,"Account Manager"
ACCOUNT-MANAGER,AG,"Account Manager"
ACCOUNT-MANAGER,AL,"Account Manager"
ACCOUNT-MANAGER,AM,"Account Manager"
ACCOUNT-MANAGER,AO,"Account Manager"
ACCOUNT-MANAGER,AR,"Account Manager"
ACCOUNT-MANAGER,AT,"Account Manager"
ACCOUNT-MANAGER,AU,"Account Manager"
ACCOUNT-MANAGER,AW,"Account Manager"
ACCOUNT-MANAGER,AX,"Account Manager"
ACCOUNT-MANAGER,AZ,"Account Manager"
ACCOUNT-MANAGER,BA,"Account Manager"
ACCOUNT-MANAGER,BB,"Account Manager"
ACCOUNT-MANAGER,BD,"Account Manager"
ACCOUNT-MANAGER,BE,"Account Manager"
ACCOUNT-MANAGER,BF,"Account Manager"
ACCOUNT-MANAGER,BG,"Account Manager"
ACCOUNT-MANAGER,BH,"Account Manager"
ACCOUNT-MANAGER,BI,"Account Manager"
ACCOUNT-MANAGER,BM,"Account Manager"
ACCOUNT-MANAGER,BN,"Account Manager"
ACCOUNT-MANAGER,BO,"Account Manager"
ACCOUNT-MANAGER,BR,"Account Manager"
ACCOUNT-MANAGER,BS,"Account Manager"
ACCOUNT-MANAGER,BT,"Account Manager"
ACCOUNT-MANAGER,BW,"Account Manager"
ACCOUNT-MANAGER,BY,"Account Manager"
ACCOUNT-MANAGER,BZ,"Account Manager"
ACCOUNT-MANAGER,CA,"Account Manager"
ACCOUNT-MANAGER,CD,"Account Manager"
ACCOUNT-MANAGER,CK,"Account Manager"
ACCOUNT-MANAGER,CL,"Account Manager"
ACCOUNT-MANAGER,CM,"Account Manager"
ACCOUNT-MANAGER,CN,"Account Manager"
ACCOUNT-MANAGER,CO,"Account Manager"
ACCOUNT-MANAGER,CR,"Account Manager"
ACCOUNT-MANAGER,CU,"Account Manager"
ACCOUNT-MANAGER,CV,"Account Manager"
ACCOUNT-MANAGER,CW,"Account Manager"
ACCOUNT-MANAGER,CY,"Account Manager"
ACCOUNT-MANAGER,CZ,"Account Manager"
ACCOUNT-MANAGER,DE,"Account Manager"
ACCOUNT-MANAGER,DJ,"Account Manager"
ACCOUNT-MANAGER,DK,"Account Manager"
ACCOUNT-MANAGER,DM,"Account Manager"
ACCOUNT-MANAGER,DO,"Account Manager"
ACCOUNT-MANAGER,DZ,"Account Manager"
ACCOUNT-MANAGER,EC,"Account Manager"
ACCOUNT-MANAGER,EE,"Account Manager"
ACCOUNT-MANAGER,EG,"Account Manager"
ACCOUNT-MANAGER,ET,"Account Manager"
ACCOUNT-MANAGER,FI,"Account Manager"
ACCOUNT-MANAGER,FJ,"Account Manager"
ACCOUNT-MANAGER,FO,"Account Manager"
ACCOUNT-MANAGER,FR,"Account Manager"
ACCOUNT-MANAGER,GA,"Account Manager"
ACCOUNT-MANAGER,GE,"Account Manager"
ACCOUNT-MANAGER,GH,"Account Manager"
ACCOUNT-MANAGER,GM,"Account Manager"
ACCOUNT-MANAGER,HR,"Account Manager"
ACCOUNT-MANAGER,KH,"Account Manager"
ACCOUNT-MANAGER,KY,"Account Manager"
ACCOUNT-MANAGER,PF,"Account Manager"
ACCOUNT-MANAGER,SV,"Account Manager"
ACCOUNT-MANAGER,TD,"Account Manager"
ACCOUNT-MANAGER,TL,"Account Manager"
ACCOUNT-MANAGER,VG,"Account Manager"
ACCOUNTANT,AD,Accountant
ACCOUNTANT,AF,Accountant
ACCOUNTANT,AG,Accountant
ACCOUNTANT,AL,Accountant
ACCOUNTANT,AM,Accountant
ACCOUNTANT,AO,Accountant
ACCOUNTANT,AR,Accountant
ACCOUNTANT,AT,Accountant
ACCOUNTANT,AU,Accountant
ACCOUNTANT,AW,Accountant
ACCOUNTANT,AX,Accountant
ACCOUNTANT,AZ,Accountant
ACCOUNTANT,BA,Accountant
ACCOUNTANT,BB,Accountant
ACCOUNTANT,BD,Accountant
ACCOUNTANT,BE,Accountant
ACCOUNTANT,BF,Accountant
ACCOUNTANT,BG,Accountant
ACCOUNTANT,BH,Accountant
ACCOUNTANT,BI,Accountant
ACCOUNTANT,BM,Accountant
ACCOUNTANT,BN,Accountant
ACCOUNTANT,BO,Accountant
ACCOUNTANT,BR,Accountant
ACCOUNTANT,BS,Accountant
ACCOUNTANT,BT,Accountant
ACCOUNTANT,BW,Accountant
ACCOUNTANT,BY,Accountant
ACCOUNTANT,BZ,Accountant
ACCOUNTANT,CA,Accountant
ACCOUNTANT,CD,Accountant
ACCOUNTANT,CK,Accountant
ACCOUNTANT,CL,Accountant
ACCOUNTANT,CM,Accountant
ACCOUNTANT,CN,Accountant
ACCOUNTANT,CO,Accountant
ACCOUNTANT,CR,Accountant
ACCOUNTANT,CU,Accountant
ACCOUNTANT,CV,Accountant
ACCOUNTANT,CW,Accountant
ACCOUNTANT,CY,Accountant
ACCOUNTANT,CZ,Accountant
ACCOUNTANT,DE,Accountant
ACCOUNTANT,DJ,Accountant
ACCOUNTANT,DK,Accountant
ACCOUNTANT,DM,Accountant
ACCOUNTANT,DO,Accountant
ACCOUNTANT,DZ,Accountant
ACCOUNTANT,EC,Accountant
ACCOUNTANT,EE,Accountant
ACCOUNTANT,EG,Accountant
ACCOUNTANT,ET,Accountant
ACCOUNTANT,FI,Accountant
ACCOUNTANT,FJ,Accountant
ACCOUNTANT,FO,Accountant
ACCOUNTANT,FR,Accountant
ACCOUNTANT,GA,Accountant
ACCOUNTANT,GE,Accountant
ACCOUNTANT,GH,Accountant
ACCOUNTANT,GM,Accountant
ACCOUNTANT,HR,Accountant
ACCOUNTANT,KH,Accountant
ACCOUNTANT,KY,Accountant
ACCOUNTANT,PF,Accountant
ACCOUNTANT,SV,Accountant
ACCOUNTANT,TD,Accountant
ACCOUNTANT,TL,Accountant
ACCOUNTANT,VG,Accountant
ADMINISTRATIVE-ASSISTANT,AD,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,AF,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,AG,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,AL,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,AM,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,AO,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,AR,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,AT,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,AU,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,AW,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,AX,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,AZ,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,BA,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,BB,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,BD,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,BE,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,BF,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,BG,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,BH,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,BI,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,BM,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,BN,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,BO,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,BR,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,BS,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,BT,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,BW,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,BY,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,BZ,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,CA,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,CD,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,CK,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,CL,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,CM,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,CN,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,CO,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,CR,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,CU,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,CV,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,CW,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,CY,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,CZ,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,DE,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,DJ,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,DK,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,DM,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,DO,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,DZ,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,EC,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,EE,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,EG,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,ET,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,FI,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,FJ,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,FO,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,FR,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,GA,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,GE,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,GH,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,GM,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,HR,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,KH,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,KY,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,PF,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,SV,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,TD,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,TL,"Administrative Assistant"
ADMINISTRATIVE-ASSISTANT,VG,"Administrative Assistant"
ARCHITECT,AD,Architect
ARCHITECT,AF,Architect
ARCHITECT,AG,Architect
ARCHITECT,AL,Architect
ARCHITECT,AM,Architect
ARCHITECT,AO,Architect
ARCHITECT,AR,Architect
ARCHITECT,AT,Architect
ARCHITECT,AU,Architect
ARCHITECT,AW,Architect
ARCHITECT,AX,Architect
ARCHITECT,AZ,Architect
ARCHITECT,BA,Architect
ARCHITECT,BB,Architect
ARCHITECT,BD,Architect
ARCHITECT,BE,Architect
ARCHITECT,BF,Architect
ARCHITECT,BG,Architect
ARCHITECT,BH,Architect
ARCHITECT,BI,Architect
ARCHITECT,BM,Architect
ARCHITECT,BN,Architect
ARCHITECT,BO,Architect
ARCHITECT,BR,Architect
ARCHITECT,BS,Architect
ARCHITECT,BT,Architect
ARCHITECT,BW,Architect
ARCHITECT,BY,Architect
ARCHITECT,BZ,Architect
ARCHITECT,CA,Architect
ARCHITECT,CD,Architect
ARCHITECT,CK,Architect
ARCHITECT,CL,Architect
ARCHITECT,CM,Architect
ARCHITECT,CN,Architect
ARCHITECT,CO,Architect
ARCHITECT,CR,Architect
ARCHITECT,CU,Architect
ARCHITECT,CV,Architect
ARCHITECT,CW,Architect
ARCHITECT,CY,Architect
ARCHITECT,CZ,Architect
ARCHITECT,DE,Architect
ARCHITECT,DJ,Architect
ARCHITECT,DK,Architect
ARCHITECT,DM,Architect
ARCHITECT,DO,Architect
ARCHITECT,DZ,Architect
ARCHITECT,EC,Architect
ARCHITECT,EE,Architect
ARCHITECT,EG,Architect
ARCHITECT,ET,Architect
ARCHITECT,FI,Architect
ARCHITECT,FJ,Architect
ARCHITECT,FO,Architect
