Salary_id,iso_alpha2,Job_id,percentile_25,percentile_25_GBP,percentile_50,percentile_50_GBP,percentile_75,percentile_75_GBP
1,AF,ACCOUNT-MANAGER,4319.73,49.1122,5408.35,61.4889,6771.31,76.9848
2,AF,ACCOUNTANT,3447.69,39.1977,4094.87,46.5556,4863.52,55.2946
3,AF,ADMINISTRATIVE-ASSISTANT,2691,30.5947,3240.84,36.846,3903.03,44.3746
4,AF,ARCHITECT,5881.17,66.8645,7282.4,82.7954,9017.48,102.522
5,AF,ATTORNEY,4705.83,53.5018,6355.07,72.2524,8582.31,97.5745
6,AF,BUSINESS-ANALYST,4725.58,53.7263,5668.93,64.4515,6800.6,77.3177
7,AF,BUSINESS-DEVELOPMENT,4261.03,48.4448,5645.53,64.1854,7479.87,85.0406
8,AF,C-LEVEL-EXECUTIVE,7800.37,88.6845,11695,132.964,17534.3,199.352
9,AF,CASHIER,1248.9,14.1991,1749.77,19.8936,2451.5,27.8717
10,AF,CHEF,3216.15,36.5652,3950.26,44.9116,4851.95,55.163
11,AF,CHEMICAL-ENGINEER,5320.6,60.4913,6447.26,73.3005,7812.48,88.8221
12,AF,CIVIL-ENGINEER,4715.65,53.6135,5621.94,63.9173,6702.41,76.2015
13,AF,CONTENT-MARKETING,3253.12,36.9856,4073.14,46.3086,5099.87,57.9817
14,AF,COPYWRITER,3227.38,36.6929,3968.65,45.1206,4880.19,55.4841
15,AF,CUSTOMER-SUPPORT,2697.91,30.6733,3468.68,39.4363,4459.65,50.703
16,AF,DATA-ANALYST,3875.71,44.064,4664.61,53.0332,5614.09,63.828
17,AF,DATA-SCIENTIST,7647.14,86.9424,9237.98,105.029,11159.8,126.878
18,AF,DENTIST,8169.38,92.8798,10639.3,120.961,13856.1,157.533
19,AF,ELECTRICAL-ENGINEER,5135.15,58.3828,6122.43,69.6075,7299.53,82.9902
20,AF,EXECUTIVE-ASSISTANT,3812.94,43.3503,4612.03,52.4353,5578.58,63.4244
21,AF,FASHION-DESIGNER,4001.01,45.4885,5165.33,58.7259,6668.47,75.8156
22,AF,FINANCE-MANAGER,5394.65,61.3332,6814.69,77.478,8608.53,97.8726
23,AF,FINANCIAL-ANALYST,4158.44,47.2783,4839.83,55.0253,5632.88,64.0417
24,AF,GRAPHIC-DESIGNER,2938.54,33.409,3499.27,39.7841,4166.99,47.3756
25,AF,HARDWARE-ENGINEER,5248.91,59.6762,6377.35,72.5057,7748.39,88.0934
26,AF,HUMAN-RESOURCES-MANAGER,4828.61,54.8977,5896.31,67.0367,7200.11,81.8599
27,AF,IT-MANAGER,5599.81,63.6656,6862.06,78.0166,8408.85,95.6024
28,AF,INDUSTRIAL-DESIGNER,4555.73,51.7953,5596.39,63.6268,6874.77,78.161
