job_id,job_title,salary_percentiles_percentile_25,salary_percentiles_percentile_50,salary_percentiles_percentile_75,iso_alpha2,currency_code,gbp_converted_25th,gbp_converted_50th,gbp_converted_75th
ACCOUNT-MANAGER,Account Manager,4319.733425820691,5408.352120199415,6771.3142855588,AF,AFN,49.112163013017614,61.48894961234088,76.98481786328237
ACCOUNTANT,Accountant,3447.692006489114,4094.865932173837,4863.52231316427,AF,AFN,39.19769929071537,46.555586503388476,55.294639070509845
ADMINISTRATIVE-ASSISTANT,Administrative Assistant,2690.9998539555827,3240.842666625166,3903.0329839592328,AF,AFN,30.59467112148579,36.84597581680603,44.37458825760124
ARCHITECT,Architect,5881.167914408908,7282.397219173055,9017.479186045246,AF,AFN,66.86451427601786,82.79545150071935,102.52204571336682
ATTORNEY,Attorney,4705.830357797302,6355.070074995654,8582.314403065204,AF,AFN,53.501798574489506,72.25243011912008,97.57454510337723
BUSINESS-ANALYST,Business Analyst,4725.577875108696,5668.928846830117,6800.597751165713,AF,AFN,53.72631319002167,64.45151359816235,77.31774913350296
BUSINESS-DEVELOPMENT,Business Development,4261.032709236512,5645.526325365037,7479.869239515987,AF,AFN,48.44477943220894,64.18544429808968,85.04056181137456
C-LEVEL-EXECUTIVE,C Level Executive,7800.373987824247,11695.036785667528,17534.272796613295,AF,AFN,88.68446292602978,132.96388837971384,199.3516680345585
CASHIER,Cashier,1248.9039787710549,1749.7676467048168,2451.4989698949234,AF,AFN,14.199111321633755,19.89355949286262,27.871723823525098
CHEF,Chef,3216.1493512220677,3950.263585787513,4851.945818769086,AF,AFN,36.56523114766515,44.911565146575064,55.163022921129624
CHEMICAL-ENGINEER,Chemical Engineer,5320.602887308796,6447.256870671827,7812.483291240339,AF,AFN,60.4913059604823,73.30052556636073,88.82213671853522
CIVIL-ENGINEER,Civil Engineer,4715.653164056048,5621.943911339231,6702.412633557414,AF,AFN,53.613476591318324,63.917329753114984,76.20145721775472
CONTENT-MARKETING,Content Marketing,3253.1204356089106,4073.14222328124,5099.86884883685,AF,AFN,36.98556493778316,46.30860405627651,57.9817237684061
COPYWRITER,Copywriter,3227.379081755723,3968.653133407044,4880.185219745954,AF,AFN,36.69290484930251,45.1206406545746,55.48408395139503
CUSTOMER-SUPPORT,Customer Support,2697.912764729592,3468.6826877821204,4459.654791590462,AF,AFN,30.673265786332053,39.43634775806161,50.7029650943714
DATA-ANALYST,Data Analyst,3875.71276471669,4664.61133683487,5614.089651279645,AF,AFN,44.06397764145281,53.033168898259106,63.82803264554642
DATA-SCIENTIST,Data Scientist,7647.144482214645,9237.982416290231,11159.762879094003,AF,AFN,86.9423571717903,105.02900378720473,126.87822133389162
DENTIST,Dentist,8169.37727512025,10639.334368569487,13856.066624681342,AF,AFN,92.87975643411879,120.96133542312593,157.53319376676507
ELECTRICAL-ENGINEER,Electrical Engineer,5135.146819754563,6122.428792787293,7299.525337533085,AF,AFN,58.382808114982424,69.60747140313084,82.99018549425142
EXECUTIVE-ASSISTANT,Executive Assistant,3812.941608544483,4612.02911227063,5578.583339636177,AF,AFN,43.350316183544834,52.435348030668095,63.42435223438917
FASHION-DESIGNER,Fashion Designer,4001.005639820749,5165.326797369793,6668.473710229963,AF,AFN,45.48846464097434,58.725932061360396,75.8155968484595
FINANCE-MANAGER,Finance Manager,5394.650164523092,6814.691874043865,8608.533254586855,AF,AFN,61.33316854567821,77.47798885019006,97.87263398595702
FINANCIAL-ANALYST,Financial Analyst,4158.437450205505,4839.834581024893,5632.884719842741,AF,AFN,47.278347481622475,55.02532713674932,64.041718625703
GRAPHIC-DESIGNER,Graphic Designer,2938.5408965455404,3499.2670767859763,4166.98984488287,AF,AFN,33.40902905464473,39.78406956178044,47.37558186165059
HARDWARE-ENGINEER,Hardware Engineer,5248.907914196643,6377.349518374998,7748.390245048249,AF,AFN,59.67618732708445,72.50573085488892,88.09344635218726
HUMAN-RESOURCES-MANAGER,Human Resources Manager,4828.610989408728,5896.314404270354,7200.108608927986,AF,AFN,54.89772323004761,67.0367186242547,81.85989107555197
IT-MANAGER,IT Manager,5599.804942402885,6862.063804155871,8408.849975424437,AF,AFN,63.6656261075051,78.0165725368582,95.60238330368594
INDUSTRIAL-DESIGNER,Industrial Designer,4555.731465712329,5596.392749682486,6874.771273157471,AF,AFN,51.79528557253267,63.62683200875021,78.16104702812171
INTERIOR-DESIGNER,Interior Designer,3886.6922833160697,4689.913636272093,5659.128202689836,AF,AFN,44.18880661910083,53.320837263889565,64.3400875481721
LECTURER,Lecturer,3774.386051870144,4650.936471316823,5731.053941741619,AF,AFN,42.911968119488535,52.877695826590156,65.15782981903267
MARKETING-MANAGER,Marketing Manager,4650.39418130388,5841.145162972038,7336.792427635744,AF,AFN,52.87153039162216,66.40948529644058,83.41388464966745
MECHANICAL-ENGINEER,Mechanical Engineer,4886.83082414904,5729.7670306431255,6718.10246902946,AF,AFN,55.559639541194514,65.14319859496808,76.37983900232148
MOBILE-DEVELOPER,Mobile Developer,4762.924611425684,5956.93988805559,7450.282279249849,AF,AFN,54.15091786378244,67.7259853796073,84.70418003212758
NURSE,Nurse,5131.442166757975,5708.450491788896,6350.340890189327,AF,AFN,58.34068895994672,64.90084536899711,72.19866279779912
OFFICE-MANAGER,Office Manager,3029.144640731049,3703.186631182255,4527.215716598254,AF,AFN,34.439126381352594,42.102483549363306,51.47108266904849
OPERATIONS-MANAGER,Operations Manager,4212.119712788196,5368.397756131944,6842.088172504816,AF,AFN,47.888674965052275,61.03469814639764,77.78946443058699
PHARMACIST,Pharmacist,8132.330854799966,9059.527537287811,10092.437293108018,AF,AFN,92.45856613035072,103.00010425936637,114.74352157358189
PHYSICIAN,Physician,10236.881767683342,13947.430463983696,19002.936730379348,AF,AFN,116.38574804507421,158.57193281082075,216.04928694208505
POSTDOCTORAL-RESEARCHER,Postdoctoral Researcher,3362.7669984797694,3803.527980382381,4302.059911998602,AF,AFN,38.232164979661356,43.24329021798927,48.91122827786591
PRODUCT-MANAGER,Product Manager,5749.316112893498,7065.251920171963,8682.386516119244,AF,AFN,65.36545715113182,80.32667061292048,98.71229075684505
PROJECT-MANAGER,Project Manager,5150.675570295596,6366.931271875142,7870.387732158241,AF,AFN,58.55935848343828,72.3872831244451,89.48046723600166
QA-ENGINEER,QA Engineer,4058.986618400206,5003.747148865108,6168.408000232304,AF,AFN,46.14766533484762,56.888891379749225,70.13022086673223
RECEPTIONIST,Receptionist,2100.314542125269,2544.11445451668,3081.6900173110657,AF,AFN,23.87901752337191,28.924693145910812,35.036528314710985
RESEARCH-SCIENTIST,Research Scientist,4396.260900587408,5634.285452648172,7220.948273948249,AF,AFN,49.98222360362074,64.05764391809878,82.09682259995904
SALES-MANAGER,Sales Manager,4389.725580115229,5802.080370591479,7668.847633504982,AF,AFN,49.907921860264665,65.96534760035134,87.1891058942221
SOFTWARE-ENGINEER,Software Engineer,5166.414555318859,6297.273934408642,7675.663379384979,AF,AFN,58.738299061924344,71.59533089603704,87.26659586633771
SYSTEMS-ADMINISTRATOR,Systems Administrator,4152.635373411389,4997.855784511527,6015.110934783431,AF,AFN,47.212382174683995,56.82191093952746,68.38734700726208
TEACHER,Teacher,2969.2128420021395,3672.515538343406,4542.406050715861,AF,AFN,33.75774631024824,41.75377598739083,51.64378549393736
UX-DESIGNER,UX Designer,4573.219720291985,5607.569649796224,6875.864117744181,AF,AFN,51.99411404759443,63.75390506772302,78.17347185998047
WAITER,Waiter,1195.2723314971583,1830.0392712114012,2801.908524044104,AF,AFN,13.589359296699056,20.80618828715868,31.855620385712577
WEB-DESIGNER,Web Designer,3327.5394963571634,4071.777507753269,4982.471910790467,AF,AFN,37.83165442582824,46.29308825359399,56.64700771298939
WEB-DEVELOPER,Web Developer,4192.672402250361,5195.216592798963,6437.487324697009,AF,AFN,47.66757347772671,59.06575685165153,73.18945307943123
ACCOUNT-MANAGER,Account Manager,41581.470553501385,52060.39389599544,65180.10490078684,AX,EUR,36111.232691669255,45211.60442316164,56605.35578969628
ACCOUNTANT,Accountant,33188.32444956384,39414.90862049328,46809.68525309967,AX,EUR,28822.244400971478,34229.692162622705,40651.651177741805
ADMINISTRATIVE-ASSISTANT,Administrative Assistant,25905.092159283635,31197.60539723369,37571.40011457963,AX,EUR,22497.15554574721,27093.413795282853,32628.705864159198
ARCHITECT,Architect,56608.75464894782,70097.24168877421,86799.70656209718,AX,EUR,49161.606944217,60875.620125329,75380.7972519761
ATTORNEY,Attorney,45296.90807546685,61170.22639988987,82606.00462132579,AX,EUR,39337.88694706465,53122.99564986185,71738.79650965388
BUSINESS-ANALYST,Business Analyst,45489.459576689405,54568.3423575576,65459.207811242246,AX,EUR,39505.10739341302,47389.620478598124,56847.7414006479
BUSINESS-DEVELOPMENT,Business Development,41017.57537832156,54342.17450401583,71995.28257308094,AX,EUR,35621.52057678799,47193.20606905688,62523.96481153516
C-LEVEL-EXECUTIVE,C Level Executive,75081.05825795679,112565.7341822244,168764.86301577106,AX,EUR,65203.79220358163,97757.18285222135,146563.05218207394
CASHIER,Cashier,12023.158253423191,16843.813438871177,23597.298245884704,AX,EUR,10441.455282816325,14627.93062413529,20492.9627670445
CHEF,Chef,30957.89012223009,38024.912054027256,46705.1834284484,AX,EUR,26885.23419123868,33022.556176710605,40560.89705922571
CHEMICAL-ENGINEER,Chemical Engineer,51215.60869880867,62059.83795505942,75200.1896464392,AX,EUR,44477.95468870028,53895.574624253604,65307.25129805582
CIVIL-ENGINEER,Civil Engineer,45389.44049565268,54111.61292348094,64509.86443556348,AX,EUR,39418.24629252249,46992.97594795663,56023.2886074423
CONTENT-MARKETING,Content Marketing,31314.97008443108,39207.71962381249,49089.78913135753,AX,EUR,27195.3386063286,34049.75985213198,42631.796675554506
COPYWRITER,Copywriter,31069.59506285216,38204.47326629855,46977.81785062417,AX,EUR,26982.243821968852,33178.49526766661,40797.66514192929
CUSTOMER-SUPPORT,Customer Support,25972.20182960437,33391.57083699086,42930.39959711274,AX,EUR,22555.436623557944,28998.752770983905,37282.703780353455
DATA-ANALYST,Data Analyst,37309.06012854875,44901.8205097575,54039.782244412825,AX,EUR,32400.877936147343,38994.77500732316,46930.59493228543
DATA-SCIENTIST,Data Scientist,73607.9164851693,88919.34079271798,107415.74472637833,AX,EUR,63924.44915397735,77221.58363841931,93284.69871146888
DENTIST,Dentist,78633.53577327904,102407.58554835536,133369.4774718178,AX,EUR,68288.92460703201,88935.38640896596,115824.09594567858
ELECTRICAL-ENGINEER,Electrical Engineer,49430.38674795515,58931.7358103109,70259.40345813602,AX,EUR,42927.587075063326,51178.98901704228,61016.44875185827
EXECUTIVE-ASSISTANT,Executive Assistant,36704.61538826733,44394.53459067782,53695.5551958428,AX,EUR,31875.950742014717,38554.224934869046,46631.65256963654
FASHION-DESIGNER,Fashion Designer,38516.89621910001,49721.960679339696,64186.723658482006,AX,EUR,33449.81751280741,43180.80308553378,55742.65851817352
FINANCE-MANAGER,Finance Manager,51926.6259934983,65594.01059889588,82858.72891080556,AX,EUR,45095.43431687511,56964.81024808519,71958.27373118453
FINANCIAL-ANALYST,Financial Analyst,40028.750228073804,46585.01167664205,54215.11539950231,AX,EUR,34762.780022001025,40456.534466112,47082.86218685149
GRAPHIC-DESIGNER,Graphic Designer,28289.90020985698,33686.31101226495,40112.10860403314,AX,EUR,24568.230889954066,29254.71849108059,34835.172211863435
HARDWARE-ENGINEER,Hardware Engineer,50525.20207712372,61385.435103639815,74580.04100827315,AX,EUR,43878.37430263731,53309.89263726847,64768.68612760514
HUMAN-RESOURCES-MANAGER,Human Resources Manager,46477.629568935554,56755.658491025366,69306.5631923464,AX,EUR,40363.278979312374,49289.18489550029,60188.9591008694
IT-MANAGER,IT Manager,53902.56911922345,66050.78509084586,80936.88821153462,AX,EUR,46811.43283854252,57361.49390902503,70289.26020751901
