job_id,job_title,salary_percentiles_percentile_25,salary_percentiles_percentile_50,salary_percentiles_percentile_75,iso_alpha2,currency_code,local_to_gbp_rates,gbp_converted_25th,gbp_converted_50th,gbp_converted_75th
ACCOUNT-MANAGER,Account Manager,4319.733425820691,5408.352120199415,6771.3142855588,AF,AFN,90.200954,47.89010796738016,59.958923718250425,75.06920919659898
ACCOUNTANT,Accountant,3447.692006489114,4094.865932173837,4863.52231316427,AF,AFN,90.200954,38.22234525911017,45.397146599733716,53.91874583903259
ADMINISTRATIVE-ASSISTANT,Administrative Assistant,2690.9998539555827,3240.842666625166,3903.0329839592328,AF,AFN,90.200954,29.83338573066071,35.92913958121958,43.27041800421792
ARCHITECT,Architect,5881.167914408908,7282.397219173055,9017.479186045246,AF,AFN,90.200954,65.20072852454429,80.73525718112755,99.97099571746487
ATTORNEY,Attorney,4705.830357797302,6355.070074995654,8582.314403065204,AF,AFN,90.200954,52.170516486968666,70.45457717659676,95.1466034723447
BUSINESS-ANALYST,Business Analyst,4725.577875108696,5668.928846830117,6800.597751165713,AF,AFN,90.200954,52.38944451861004,62.84777039974674,75.39385615772659
BUSINESS-DEVELOPMENT,Business Development,4261.032709236512,5645.526325365037,7479.869239515987,AF,AFN,90.200954,47.23933085271484,62.58832168632094,82.92450254479556
C-LEVEL-EXECUTIVE,C Level Executive,7800.373987824247,11695.036785667528,17534.272796613295,AF,AFN,90.200954,86.47773268367258,129.65535581439116,194.39121227712621
CASHIER,Cashier,1248.9039787710549,1749.7676467048168,2451.4989698949234,AF,AFN,90.200954,13.84579567496653,19.39854922936643,27.17819336916241
CHEF,Chef,3216.1493512220677,3950.263585787513,4851.945818769086,AF,AFN,90.200954,35.65538066506556,43.79403332904343,53.790404686507934
CHEMICAL-ENGINEER,Chemical Engineer,5320.602887308796,6447.256870671827,7812.483291240339,AF,AFN,90.200954,58.98610437433729,71.47659292685337,86.61198074734708
